               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.031148,             0.02615,           0.0048788,             0.68631,                0.59,             0.61518,              0.4244,            0.041332,            0.027091,             0.01157,            0.002872,            0.002872,            0.002872
                  38,            0.030806,            0.026202,           0.0045196,             0.66487,              0.6061,             0.61753,             0.42648,            0.041335,            0.027227,            0.011927,            0.002674,            0.002674,            0.002674
                  39,            0.030099,            0.025289,           0.0043119,             0.70167,             0.58821,             0.62234,             0.42991,            0.041314,            0.027488,            0.011662,            0.002476,            0.002476,            0.002476
                  40,            0.030122,            0.025301,           0.0042365,             0.69101,             0.59375,             0.61804,             0.42784,            0.041625,             0.02789,            0.012208,            0.002278,            0.002278,            0.002278
                  41,              0.0294,            0.024792,           0.0041104,             0.66618,             0.59705,             0.61759,             0.42664,            0.041601,            0.028072,            0.011749,             0.00208,             0.00208,             0.00208
                  42,             0.02931,             0.02433,           0.0039664,              0.6997,             0.59489,             0.62237,             0.43237,             0.04178,            0.028142,            0.012096,            0.001882,            0.001882,            0.001882
                  43,            0.028617,             0.02345,           0.0040481,             0.68352,             0.59685,             0.62095,             0.43328,            0.042069,            0.028486,            0.011775,            0.001684,            0.001684,            0.001684
                  44,            0.028528,            0.023851,           0.0038733,             0.69521,              0.5976,             0.62112,             0.43187,            0.041829,            0.028573,            0.011974,            0.001486,            0.001486,            0.001486
                  45,              0.0279,            0.023604,           0.0035828,             0.68942,             0.59614,             0.62074,             0.43325,            0.041812,            0.028933,            0.012141,            0.001288,            0.001288,            0.001288
                  46,            0.027639,            0.023314,           0.0036116,             0.70322,              0.5914,             0.61896,             0.43249,            0.042135,            0.029191,            0.012211,             0.00109,             0.00109,             0.00109
                  47,             0.02715,            0.022726,           0.0034979,             0.72307,             0.57754,             0.62425,             0.43674,            0.041689,            0.029245,             0.01215,            0.000892,            0.000892,            0.000892
                  48,            0.027241,            0.022652,           0.0035605,             0.71527,             0.57421,             0.62212,             0.43589,            0.041906,            0.029514,            0.012491,            0.000694,            0.000694,            0.000694
                  49,            0.026826,            0.022494,           0.0034114,             0.68771,             0.59098,             0.62128,             0.43458,            0.042007,             0.02949,            0.012345,            0.000496,            0.000496,            0.000496
