               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.028999,            0.020164,           0.0047686,             0.59094,              0.4986,             0.47934,             0.32251,            0.045007,            0.029781,            0.018298,            0.002872,            0.002872,            0.002872
                  38,            0.027908,            0.019632,           0.0048235,             0.63786,             0.48662,             0.48644,             0.33022,            0.044767,            0.029565,            0.018328,            0.002674,            0.002674,            0.002674
                  39,            0.028199,            0.020173,           0.0048647,             0.63533,             0.49348,             0.50019,              0.3342,            0.044937,            0.029248,            0.017532,            0.002476,            0.002476,            0.002476
                  40,            0.027546,            0.019386,           0.0044964,             0.59745,             0.48356,             0.48538,             0.31881,            0.045937,            0.029915,            0.018025,            0.002278,            0.002278,            0.002278
                  41,            0.027102,            0.019761,           0.0046817,             0.60277,             0.47757,              0.4811,             0.32542,            0.045397,            0.030526,            0.019074,             0.00208,             0.00208,             0.00208
                  42,            0.026399,            0.019029,           0.0044132,             0.63964,             0.43726,             0.47265,             0.31873,            0.045627,            0.031071,            0.019754,            0.001882,            0.001882,            0.001882
                  43,            0.026129,            0.019113,           0.0040893,             0.68094,             0.43524,             0.47679,              0.3238,            0.044979,            0.030487,            0.018748,            0.001684,            0.001684,            0.001684
                  44,            0.025214,            0.018278,            0.003854,             0.57547,             0.49001,             0.48045,             0.33342,             0.04533,            0.030285,            0.018525,            0.001486,            0.001486,            0.001486
                  45,            0.026066,            0.018554,           0.0043588,             0.62356,             0.47199,             0.48552,             0.34175,            0.045447,            0.030765,            0.019057,            0.001288,            0.001288,            0.001288
                  46,            0.024215,            0.018513,           0.0036741,             0.62401,             0.46976,             0.48868,             0.33627,            0.044755,            0.030472,            0.018466,             0.00109,             0.00109,             0.00109
                  47,            0.024279,             0.01814,           0.0036314,             0.60711,             0.46847,             0.48288,             0.32871,            0.045221,            0.030775,            0.018811,            0.000892,            0.000892,            0.000892
                  48,            0.025288,            0.018871,           0.0036967,             0.65955,             0.44923,             0.48448,             0.33213,            0.045263,            0.030803,            0.018778,            0.000694,            0.000694,            0.000694
                  49,            0.023985,            0.018131,           0.0037205,             0.66441,             0.45067,             0.48343,             0.33608,            0.045334,            0.030943,            0.018723,            0.000496,            0.000496,            0.000496
